SpendOnYou,LongestRun,PizzaToppings,ToppingPref,GiveUp,TextsSent,TextsReceived,GroupText,TextOften,Active,Generous,Gender,HighwayAlone,HighwayPassenger,CoffeeFreq,StudyLocationOriginal,Personality,StudyLocation
700,13.1,2,A bit of BOTH veggie and meat toppings,Caffeine,25,29,5,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,80,75,Hardly ever,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Introvert,Natural Light
600,4.5,3,A bit of BOTH veggie and meat toppings,Caffeine,50,30,20,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,85,75,Almost daily,"In an outdoor space (weather permitting) (e.g. parents plaza, back deck, public park, etc.)",Introvert,Outside
0,2,3,Mostly meat toppings,Caffeine,10,15,115,Family,Yes,"Yes, I'm a pretty generous person",Male,70,65,A few times a month,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
250,1,3,A bit of BOTH veggie and meat toppings,Desserts,45,48,2,Friend,No,"Yes, I'm a pretty generous person",Male,90,75,A few times a month,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
100,3,4,Mostly meat toppings,Desserts,12,14,25,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,75,75,Hardly ever,"In an outdoor space (weather permitting) (e.g. parents plaza, back deck, public park, etc.)",Extrovert,Outside
600,1,3,Mostly meat toppings,Desserts,100,114,115,Significant Other,Yes,"Yes, I'm a pretty generous person",Female,85,75,Almost daily,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Extrovert,Natural Light
500,3,3,Mostly veggie toppings,Meat,37,44,8,Significant Other,No,"Yes, I'm a pretty generous person",Male,78,71,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
500,4.5,2,A bit of BOTH veggie and meat toppings,Dairy,35,46,13,Family,Yes,"Yes, I'm a pretty generous person",Female,85,75,Almost daily,"In an outdoor space (weather permitting) (e.g. parents plaza, back deck, public park, etc.)",Extrovert,Outside
1000,2,0,Only cheese (no extra toppings),Caffeine,,215,3,Friend,No,"Yes, I'm a pretty generous person",Female,85,65,Hardly ever,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Extrovert,Natural Light
1000,1,1,Mostly meat toppings,Desserts,30,50,13,Friend,No,"Yes, I'm a pretty generous person",Female,70,65,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
850,5,2,Mostly meat toppings,Desserts,10,15,25,Friend,Yes,"Yes, I'm a pretty generous person",Male,100,90,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
250,8,2,Mostly veggie toppings,Meat,25,30,23,Family,Yes,"Yes, I'm a pretty generous person",Female,80,75,Almost daily,"In an outdoor space (weather permitting) (e.g. parents plaza, back deck, public park, etc.)",Introvert,Outside
300,12,3,Mostly meat toppings,Caffeine,10,10,20,Family,Yes,"Yes, I'm a pretty generous person",Male,60,60,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
